	442	438	446	426	434	430
NM_008220_7_-_1	5.874	7.521	6.905	10.258	10.998	9.837
NM_001201391_7_-_1	5.873	8.512	7.633	11.04	11.604	10.596
NM_001278161_7_-_1	7.253	9.46	8.867	11.604	12.032	11.452
NM_001013616_7_+_1	1.712	2.076	1.699	0.158	-1.385	-0.78
NM_030684_7_+_1	6.601	6.426	5.98	5.396	5.239	5.521
NM_023835_7_-_1	6.737	6.597	6.837	-1.539	-1.679	-0.039
NR_040749_7_+_1	3.043	3.171	2.694	-4.912	-4.912	-3.02
NM_001243916_7_+_1	-0.031	0.207	0.619	2.935	3.069	2.89
NM_001146007_7_-_1	6.153	6.085	5.94	-4.029	-3.916	-3.767
NM_009099_7_-_1	6.801	7.025	6.688	5.882	5.681	6.007
NR_030719_7_-_1	-0.933	-1.323	-0.957	1.788	1.642	1.934
NM_001243039_dup1_7_-_2	2.073	-1.402	0.761	-1.977	-2.968	-2.08
NM_001243040_dup1_7_-_2	4.69	3.064	3.526	0.028	-0.58	1.311
NM_029000_dup1_7_-_2	1.976	1.49	0.686	-2.043	-2.206	-2.12
NM_001039160_dup1_7_-_2	4.598	4.142	4.225	-0.077	0.977	1.215
NR_040456_dup1_7_-_2	0.687	2.043	1.838	-4.912	-4.911	-4.912
NR_040453_dup1_7_-_2	1.244	-2.628	2.408	-4.912	-4.91	-4.912
NR_003967_7_-_1	-4.912	-1.821	-4.912	2.951	3.748	2.879
NM_001277179_7_-_1	6.427	6.513	6.557	3.948	5.426	4.243
NR_037959_7_-_1	8.079	8.216	8.339	5.108	5.17	5.365
NM_145584_7_+_1	3.105	3.035	3.373	1.058	1.885	2.01
NM_001277326_7_-_1	-3.832	-3.281	-4.912	1.578	2.857	0.59
NM_025989_7_-_1	2.419	2.372	1.745	6.136	6.275	5.847
NM_026418_7_-_1	5.997	6.403	6.639	5.559	5.805	5.425
NM_029935_7_-_1	3.926	3.856	3.72	3.338	3.398	2.979
NM_007400_7_-_1	-4.912	-4.912	-4.912	-0.133	0.305	0.535
NM_001033420_7_+_1	0.207	-0.556	0.638	2.043	1.749	2.407
NM_025378_7_-_1	9.937	10.349	10.251	9.592	9.784	9.877
NM_019762_7_+_1	6.462	6.26	6.656	6.072	5.86	5.725
NM_001162924_7_+_1	-0.111	-0.227	0.191	-1.15	-1.251	-1.385
NM_016850_7_-_1	6.603	6.71	6.292	5.425	5.251	5.138
NM_001177471_8_-_1	-4.912	-2.442	-0.377	2.387	2.872	2.783
NM_001012640_8_-_1	-4.912	-4.912	-4.912	1.927	2.323	0.616
NM_001270996_8_-_1	4.122	3.293	0.129	-4.311	-3.364	-3.22
NM_011721_8_-_1	5.073	4.719	4.936	3.936	4.248	4.035
NM_001042674_8_-_1	3.417	3.258	3.241	1.343	1.501	1.187
NM_001293759_8_-_1	3.081	2.96	3.001	-0.066	-0.808	1.213
NM_001293757_8_-_1	3.41	3.592	4.134	-4.912	-0.599	0.596
NM_026609_8_-_1	5.988	6.101	6.332	6.842	6.873	6.944
NM_001194940_8_-_1	2.037	1.126	1.664	4.387	4.422	4.378
NM_001039220_8_+_1	2.346	2.414	1.699	3.814	3.699	4.268
NM_030254_8_+_1	3.718	3.666	3.78	4.609	4.921	4.734
NM_019734_8_-_1	8.027	7.877	7.723	7.024	6.978	7.062
NM_146208_8_-_1	4.039	3.831	3.999	2.788	3.55	2.198
NM_008278_8_+_1	6.258	6.285	6.314	3.96	3.893	2.198
NM_008252_8_+_1	10.171	10.299	10.264	9.743	9.762	9.619
NM_008509_8_+_1	2.454	2.252	2.491	5.519	5.701	5.609
NM_001111304_8_+_1	6.911	6.775	7.027	6.264	6.301	6.443
NM_018808_8_+_1	10.066	8.162	8.908	7.298	6.566	6.383
NM_001163031_8_-_1	5.28	4.618	4.68	1.822	-3.521	1.435
NM_026423_8_-_1	6.133	6.086	6.487	5.641	5.233	5.657
NM_010499_8_-_1	9.238	8.973	9.427	10.143	9.635	9.635
NM_198020_8_+_1	-3.258	2.408	-3.092	4.392	4.091	3.343
NM_183358_8_+_1	6.1	6.454	6.329	4.748	4.441	4.552
NM_007591_8_-_1	8.259	8.249	7.95	8.8	8.703	8.547
NM_001163791_8_+_1	2.995	1.069	0.255	-4.912	-4.912	-0.883
NM_145857_8_+_1	2.763	2.134	2.427	3.483	3.615	4.169
NM_173014_8_+_1	6.337	6.201	6.019	7.052	7.132	7.026
NM_134141_8_-_1	5.676	5.647	5.561	6.325	5.941	5.947
NM_001145972_8_+_1	6.817	6.848	6.529	8.059	8.119	8.145
NM_009866_8_-_1	-1.941	-2.251	-0.525	-3.369	-3.183	-4.912
NM_175160_8_-_1	-0.162	0.286	0.341	1.249	1.28	0.824
NR_002928_8_-_1	3.461	3.533	3.751	5.666	5.418	5.242
NM_175480_8_+_1	-4.912	-4.912	-4.912	2.125	0.786	2.106
NM_146218_8_-_1	4.506	4.848	4.612	3.819	3.292	4.213
NM_011404_8_-_1	2.535	2.184	2.778	4.182	3.941	3.652
NM_175149_8_-_1	1.908	0.826	1.867	3.886	3.258	3.498
NM_008605_9_+_1	7.547	7.467	7.345	8.674	8.856	8.911
NM_027823_9_-_1	1.118	1.748	0.977	3.02	3.997	3.96
NM_016742_9_-_1	7.086	6.893	7.079	6.866	6.468	6.522
NM_145416_9_-_1	3.56	3.634	3.295	4.47	4.336	4.351
NM_026282_9_-_1	6.162	6.211	6.286	5.273	5.183	4.798
NM_007388_9_-_1	7.936	7.751	7.821	8.893	8.825	8.848
NM_001033813_9_+_1	0.308	-1.414	0.734	-4.912	-4.912	-1.52
NM_026189_9_+_1	4.219	4.267	3.909	3.007	3.183	3.335
NM_021339_9_+_1	4.464	4.612	4.53	-2.144	0.86	-1.018
NM_029762_9_-_1	3.237	3.145	3.258	1.464	0.632	0.972
NM_001081121_9_-_1	-4.912	-4.912	-4.912	0.955	1.584	1.456
NM_172769_9_-_1	5.021	5.407	5.266	4.441	4.011	4.26
NM_027144_9_-_1	1.273	1.302	1.329	4.918	4.981	5.258
NM_021424_9_+_1	3.214	3.742	3.576	4.295	4.32	4.298
NM_001005421_9_+_1	7.295	6.892	6.979	7.517	7.379	7.457
NR_015605_9_+_1	5.425	5.458	5.344	7.044	7.084	7.47
NM_172921_9_+_1	4.242	4.617	4.407	0.158	0.632	-1.577
NM_133217_9_-_1	3.203	2.743	3.024	1	1.001	1.646
NM_021422_9_+_1	2.697	2.725	1.193	3.428	3.628	3.472
NM_011992_9_+_1	6.333	6.212	5.954	5.776	5.363	5.536
NM_019793_9_-_1	8.537	8.19	8.034	7.005	7.031	7.14
NM_024245_9_-_1	5.091	5.368	5.112	4.174	4.428	4.588
NM_183316_9_+_1	7.012	7.169	7.105	5.772	6.029	5.9
NM_001025612_9_-_1	2.593	2.916	3.167	4.661	4.395	4.36
NM_010019_9_+_1	2.234	2.239	3.078	3.827	4.66	4.025
NM_001081242_9_-_1	0.398	-1.411	0.26	4.284	4.25	4.881
NM_007585_9_+_1	8.286	8.484	8.158	8.048	7.619	7.84
NM_009359_9_-_1	5.163	5.359	5.272	5.826	5.849	6.067
NR_040401_9_+_1	1.416	1.378	1.745	-4.912	-2.535	-1.956
NM_001081243_9_-_1	-4.912	-4.912	-4.912	-1.264	-1.385	-0.78
NM_022986_9_+_1	2.515	1.613	1.887	5.356	5.439	5.677
NM_001168240_9_+_1	-4.912	-4.912	1.093	1.95	2.384	3.578
NM_199195_9_+_1	2.857	2.781	-1.623	-4.851	-4.894	-2.133
NM_001305935_9_+_1	2.55	3.474	3.64	5.129	5.106	5.044
NM_024195_9_+_1	7.435	7.148	6.951	6.508	6.334	6.423
NR_040766_9_-_1	-1.916	-1.359	-0.327	-0.071	0.543	1.109
NM_023873_9_+_1	5.014	5.019	5.108	4.3	4.577	3.629
NR_028123_9_+_1	1.494	0.386	3.302	3.956	4.46	4.976
NM_001301689_9_-_1	7.292	7.159	6.98	4.787	4.989	5.164
NM_013649_9_+_1	-4.912	-4.912	-3.646	0.392	2.288	0.05
NM_173781_9_+_1	2.419	2.076	2.533	-0.133	-0.266	1.405
NM_027918_9_-_1	-4.912	-4.912	-4.912	1.605	1.382	1.143
NM_009082_9_+_1	8.616	8.765	8.819	5.399	5.564	6.088
NM_029631_9_+_1	3.028	2.709	2.736	-4.912	-4.912	-4.912
NM_145619_9_-_1	4.741	4.286	4.407	3.856	4.005	3.942
NM_001081654_9_-_1	3.658	3.85	3.665	4.872	4.598	4.243
NM_133984_9_-_1	3.227	2.839	2.837	3.919	4.231	3.942
NM_009153_9_-_1	-4.912	-4.912	-4.912	0.666	-3.934	0.441
NM_001012236_9_-_1	8.655	8.777	8.761	8.071	8.032	8.093
NM_017466_9_-_1	7.728	7.196	7.294	8.013	7.985	8.131
NM_009752_9_+_1	4.92	4.629	3.957	3.709	2.923	2.908
NM_175380_9_-_1	5.547	5.447	5.31	6.807	6.867	6.891
NM_001164567_9_+_1	3.923	4.334	4.907	-4.912	-4.912	-4.912
NM_011700_9_+_1	0.741	1.835	0.684	-4.912	-4.912	-4.912
NM_138606_X_+_1	2.487	2.309	3.457	4.757	4.671	4.406
NM_007807_X_-_1	8.011	7.83	7.754	5.965	5.8	5.317
NM_001081642_X_-_1	4.746	5.038	5.287	3.342	3.81	2.672
NM_181516_X_+_1	5.604	5.143	5.595	6.019	5.96	6.034
NM_001166453_X_-_1	1.308	2.044	2.338	-2.622	-1.055	0.078
NM_010110_X_+_1	1.85	1.613	-0.058	3.071	2.773	3.148
NM_001083110_X_-_1	4.66	4.044	3.847	5.36	5.009	5.004
NM_001301840_X_-_1	-0.284	-0.028	-0.565	-2.986	-2.535	-4.912
NM_009767_X_+_1	1.071	-0.4	0.803	3.875	3.361	4.05
NR_002844_X_+_1	6.551	6.868	7.268	8.435	8.718	9.026
NM_001190409_X_-_1	6.557	6.474	6.619	6.043	6.295	6.078
NM_025703_X_-_1	3.989	4.316	4.499	5.199	5.605	5.178
NM_178754_X_+_1	6.122	5.666	6.29	6.553	6.722	6.669
